key,label,raw_nodes,raw_edges,confirmed_nodes,confirmed_edges,candidate_bridges,node_reduction_pct,edge_reduction_pct,mean_confidence_graph,mean_edge_score,mean_candidate_bridge_score
policy_dense2sparse,Policy + D2S reviewer extraction,698,853,590,575,10,15.47,32.59,0.8767,0.8928,0.8298
policy_nodeaware_refined,Node-aware refined reviewer extraction,456,342,351,289,74,23.03,15.5,0.8576,0.9365,0.9219
